quote,author,tags,likes
"One can never have enough socks,"" said Dumbledore. ""Another Christmas has come and gone and I didn't get a single pair. People will insist on giving me books.",J.K. Rowling,albus-dumbledore books christmas desire family joke socks,3741
"Then the Grinch thought of something he hadn't before! What if Christmas, he thought, doesn't come from a store. What if Christmas...perhaps...means a little bit more!",Dr. Seuss,christmas,3145
The main reason Santa is so jolly is because he knows where all the bad girls live.,George Carlin,bad-girls christmas santa santa-claus sex,2304
"Mistletoe,"" said Luna dreamily, pointing at a large clump of white berries placed almost over Harry's head. He jumped out from under it. ""Good thinking,"" said Luna seriously. ""It's often infested with nargles.",J.K. Rowling ,christmas humor,1433
"How many observe Christ's birthday! How few, His precepts!",Benjamin Franklin,christian-behavior christmas religion,855
"I will honor Christmas in my heart, and try to keep it all the year.",Charles Dickens,christmas,822
"CALVIN:This whole Santa Claus thing just doesn't make sense. Why all the secrecy? Why all the mystery?If the guy exists why doesn't he ever show himself and prove it?And if he doesn't exist what's the meaning of all this?HOBBES:I dunno. Isn't this a religious holiday? CALVIN:Yeah, but actually, I've got the same questions about God.",Bill Watterson,christmas life religion,682
"Want to keep Christ in Christmas? Feed the hungry, clothe the naked, forgive the guilty, welcome the unwanted, care for the ill, love your enemies, and do unto others as you would have done unto you.",Steve Maraboli,care christ christianity christmas clothe enemies feed forgive golden-rule guilty hungry ill inspirational jesus life love motivational naked service unwanted welcome,649
"Our hearts grow tender with childhood memories and love of kindred, and we are better throughout the year for having, in spirit, become a child again at Christmastime.",Laura Ingalls Wilder,christmas,603
"My idea of Christmas, whether old-fashioned or modern, is very simple: loving others. Come to think of it, why do we have to wait for Christmas to do that?",Bob Hope,christmas,556
"Christmas can be celebrated in the school room with pine trees, tinsel and reindeers, but there must be no mention of the man whose birthday is being celebrated. One wonders how a teacher would answer if a student asked why it was called Christmas.",Ronald Reagan,christmas secular separation-of-church-and-state,462
"Christmas waves a magic wand over this world, and behold, everything is softer and more beautiful. ",Norman Vincent Peale,christmas,434
"I will honour Christmas in my heart, and try to keep it all the year. I will live in the Past, the Present, and the Future. The Spirits of all Three shall strive within me. I will not shut out the lessons that they teach.",Charles Dickens,christmas,402
"I heard the bells on Christmas DayTheir old, familiar carols play,And wild and sweetThe words repeatOf peace on earth, good-will to men!",Henry Wadsworth Longfellow,christmas,389
Christmas is doing a little something extra for someone.,Charles M. Schulz,christmas,389
"I need a weapon,",Derek Landy,christmas humour skulduggery stick weapon,389
"In the old days, it was not called the Holiday Season; the Christians called it 'Christmas' and went to church; the Jews called it 'Hanukkah' and went to synagogue; the atheists went to parties and drank. People passing each other on the street would say 'Merry Christmas!' or 'Happy Hanukkah!' or (to the atheists) 'Look out for the wall!",Dave Barry,christmas hanukkah holidays,352
"And when we give each other Christmas gifts in His name, let us remember that He has given us the sun and the moon and the stars, and the earth with its forests and mountains and oceans--and all that lives and move upon them. He has given us all green things and everything that blossoms and bears fruit and all that we quarrel about and all that we have misused--and to save us from our foolishness, from all our sins, He came down to earth and gave us Himself.",Sigrid Undset,christmas,332
He who has not Christmas in his heart will never find it under a tree.,Roy L. Smith,christmas,324
Blessed is the season which engages the whole world in a conspiracy of love.,Hamilton Wright Mabie,christmas,302
The reality of loving God is loving him like he's a Superhero who actually saved you from stuff rather than a Santa Claus who merely gave you some stuff.,Criss Jami,apologetics christ christmas god grace jesus love materialism mercy peace reality salvation santa-claus sin spirituality stuff superhero,293
"Oh look, yet another Christmas TV special! How touching to have the meaning of Christmas brought to us by cola, fast food, and beer.... Who'd have ever guessed that product consumption, popular entertainment, and spirituality would mix so harmoniously? ",Bill Watterson,christmas,292
Always winter but never Christmas.,C.S. Lewis,christmas,239
"If my Valentine you won't be,I'll hang myself on your Christmas tree.",Ernest Hemingway,christmas christmas-tree felo-de-se hanging suicide valentine valentine-s-day,239
"Christmas is not a time nor a season, but a state of mind. To cherish peace and goodwill, to be plenteous in mercy, is to have the real spirit of Christmas.",Calvin Coolidge,christmas,225
"And in despair I bowed my head;""There is no peace on earth,"" I said;""For hate is strong,And mocks the songOf peace on earth, good-will to men!""Then pealed the bells more loud and deep:""God is not dead, nor doth he sleep!The Wrong shall fail,the Right prevail,With peace on earth, good-will to men!",Henry Wadsworth Longfellow,christmas despair god hope poetry,225
Christmas is built upon a beautiful and intentional paradox; that the birth of the homeless should be celebrated in every home.,G.K. Chesterton,bethlehem christmas jesus-christ nativity,220
"The Supreme Court has ruled that they cannot have a nativity scene in Washington, D.C. This wasn't for any religious reasons. They couldn't find three wise men and a virgin.",Jay Leno,christianity christmas corruption nativity politics religion washington,206
"There are many things from which I might have derived good, by which I have not profited, I dare say,' returned the nephew. 'Christmas among the rest. But I am sure I have always thought of Christmas time, when it has come round—apart from the veneration due to its sacred name and origin, if anything belonging to it can be apart from that—as a good time; a kind, forgiving, charitable, pleasant time; the only time I know of, in the long calendar of the year, when men and women seem by one consent to open their shut-up hearts freely, and to think of people below them as if they really were fellow-passengers to the grave, and not another race of creatures bound on other journeys. And therefore, uncle, though it has never put a scrap of gold or silver in my pocket, I believe that it has done me good, and will do me good; and I say, God bless it!",Charles Dickens,christmas holidays,206
"The city centre was still crawling with Christmas shoppers looking to add to their already burgeoning piles of gifts. To Scott they were like ants at a picnic, teeming from store to store, trailing oversized carrier bags and infants behind them as they went. Scott felt alien in this environment; pulling up his hood he hurried through the crowds, dodging pushchairs, lit cigarettes and charity collection tins.",R.D. Ronald,christmas resentment youth,127
"Christmas, children, is not a date. It is a state of mind. ",Mary Ellen Chase,attitude christmas inspiration,423
"One of the most glorious messes in the world is the mess created in the living room on Christmas day. Don't clean it up too quickly."" ~ (1919-), American writer, producer, humorist. ",Andy Rooney,christmas,265
"When we recall Christmas past, we usually find that the simplest things - not the great occasions - give off the greatest glow of happiness.",Bob Hope,christmas,208
"A lovely thing about Christmas is that it's compulsory, like a thunderstorm, and we all go through it together.",Garrison Keillor,christmas,175
Christmas is a necessity. There has to be at least one day of the year to remind us that we're here for something else besides ourselves.,Eric Severeid,christmas,171
The smells of Christmas are the smells of childhood,Richard Paul Evans,childhood christmas memories smells,154
"No matter how much falls on us, we keep plowing ahead. That's the only way to keep the roads clear.",Greg Kincaid,christmas endurance inspirational labor love persistence practice resilience,146
"There is something about Christmas that requires a rug rat. Little kids make Christmas fun. I wonder if could rent one for the holidays. When I was tiny we would by a real tree and stay up late drinking hot chocolate and finding just the right place for the special decorations. It seems like my parents gave up the magic when I figured out the Santa lie. Maybe I shouldn't have told them I knew where the presents really came from. It broke their hearts.I bet they'd be divorced by now if I hadn't been born. I'm sure I was a huge disappointment. I'm not pretty or smart or athletic. I'm just like them- an ordinary drone dressed in secrets and lies. I can't believe we have to keep playacting till I graduate. It's a shame we just can't admit that we have failed at family living, sell the house, split up the money, and get on with our lives. Merry Christmas.",Laurie Halse Anderson,christmas families,129
This faulty light fitting at the front door with the dangerously flickering bulb looks rather festive. Who says I don't do Christmas?,R.D. Ronald,christmas festive humbug humour writers-life,122
Just been poisoned by my gran. Nothing says Christmas better than familicide and anaphylactic shock.,R.D. Ronald,christmas life musings poisoned,116
"Christmas Eve was a night of song that wrapped itself about you like a shawl. But it warmed more than your body. It warmed your heart...filled it, too, with melody that would last forever.",Bess Streeter Aldrich,christmas,115
"Happy, happy Christmas, that can win us back to the delusions of our childish days; that can recall to the old man the pleasures of his youth; that can transport the sailor and the traveller, thousands of miles away, back to his own fire-side and his quiet home!",Charles Dickens,childhood christmas dickens home youth,113
"Santa Claus has nothing to do with it,"" the latke said. ""Christmas and Hanukah are completely different things.""""But different things can often blend together,"" said the pine tree. ""Let me tell you a funny story about pagan rituals.",Lemony Snicket,christmas customs hanukkah time,109
It was the beginning of the greatest Christmas ever. Little food. No presents. But there was a snowman in their basement.,Markus Zusak,christmas snowman snowmen,104
"The Christmas presents once opened are Not So Much Fun as they were while we were in the process of examining, lifting, shaking, thinking about, and opening them. Three hundred sixty-five days later, we try again and find that the same thing has happened. Each time the goal is reached, it becomes Not So Much Fun, and we're off to reach the next one, then the next one, then the next.That doesn't mean that the goals we have don't count. They do, mostly because they cause us to go through the process and it's the process that makes us wise, happy, or whatever. If we do things in the wrong sort of way, it makes us miserable, angry, confused, and things like that. The goal has to be right for us, and it has to be beneficial, in order to ensure a beneficial process. But aside from that, it's really the process that's important.",Benjamin Hoff,christmas consumerism happiness process,99
"Twas the night before Christmas, when all through the houseNot a creature was stirring, not even a mouse;The stockings were hung by the chimney with care,In hopes that St. Nicholas soon would be there;The children were nestled all snug in their beds;While visions of sugar-plums danced in their heads;And mamma in her 'kerchief, and I in my cap,Had just settled our brains for a long winter's nap,When out on the lawn there arose such a clatter,I sprang from my bed to see what was the matter.Away to the window I flew like a flash,Tore open the shutters and threw up the sash.The moon on the breast of the new-fallen snow,Gave a lustre of midday to objects below,When what to my wondering eyes did appear,But a miniature sleigh and eight tiny rein-deer,With a little old driver so lively and quick,I knew in a moment he must be St. Nick.More rapid than eagles his coursers they came,And he whistled, and shouted, and called them by name:""Now, Dasher! now, Dancer! now Prancer and Vixen!On, Comet! on, Cupid! on, Donder and Blixen!To the top of the porch! to the top of the wall!Now dash away! dash away! dash away all!""As leaves that before the wild hurricane fly,When they meet with an obstacle, mount to the sky;So up to the housetop the coursers they flewWith the sleigh full of toys, and St. Nicholas too—And then, in a twinkling, I heard on the roofThe prancing and pawing of each little hoof.As I drew in my head, and was turning around,Down the chimney St. Nicholas came with a bound.He was dressed all in fur, from his head to his foot,And his clothes were all tarnished with ashes and soot;A bundle of toys he had flung on his back,And he looked like a pedler just opening his pack.His eyes—how they twinkled! his dimples, how merry!His cheeks were like roses, his nose like a cherry!His droll little mouth was drawn up like a bow,And the beard on his chin was as white as the snow;The stump of a pipe he held tight in his teeth,And the smoke, it encircled his head like a wreath;He had a broad face and a little round bellyThat shook when he laughed, like a bowl full of jelly.He was chubby and plump, a right jolly old elf,And I laughed when I saw him, in spite of myself;A wink of his eye and a twist of his headSoon gave me to know I had nothing to dread;He spoke not a word, but went straight to his work,And filled all the stockings; then turned with a jerk,And laying his finger aside of his nose,And giving a nod, up the chimney he rose;He sprang to his sleigh, to his team gave a whistle,And away they all flew like the down of a thistle.But I heard him exclaim, ere he drove out of sight—“Happy Christmas to all, and to all a good night!",Clement Clarke Moore,christmas,92
What kind of Christmas present would Jesus ask Santa for?,Salman Rushdie,christmas humor jesus,88
And how did little Tim behave?,Charles Dickens,christmas,83
"He took the Who’s feast, he took the Who pudding, he took the roast beast. He cleaned out that ice box as quick as a flash. Why, the Grinch even took their last can of Who hash.",Dr. Seuss,christmas grinch,82
"Christmas it seems to me is a necessary festival; we require a season when we can regret all the flaws in our human relationships: it is the feast of failure, sad but consoling.",Graham Greene,christmas holidays,80
"On a busy day twenty-two thousand people come to visit Santa, and I was told that it is an elf's lot to remain merry in the face of torment and adversity. I promised to keep that in mind.",david sedaris,christmas holidays santa-claus,77
Gifts of time and love are surely the basic ingredients of a truly merry Christmas.,Peg Bracken,christmas,77
"Christmas is a day of meaning and traditions, a special day spent in the warm circle of family and friends.",Margaret Thatcher,christmas,73
When did wishing someone a Merry Christmas become politically incorrect?,Suzanne Woods Fisher,christian christmas inspirational,66
Its easier to feel a little more spiritual with a couple of bucks in your pocket.,Craig Ferguson,christmas money spiritual,65
"You know the stories of my grandfather, I am sure?",Cassandra Clare,benedict-lightwood christmas demon-pox idle-concern jesse-blackthorn lucie-herondale propriety young-lady,64
"Ever since the Christmas of '53, I have felt that the yuletide is a special hell for those families who have suffered any loss or who must admit to any imperfection; the so-called spirit of giving can be as greedy as receiving--Christmas is our time to be aware of what we lack, of who's not home.",John Irving,christmas grief loss,63
"To the American People: Christmas is not a time or a season but a state of mind. To cherish peace and good will, to be plenteous in mercy, is to have the real spirit of Christmas. If we think on these things, there will be born in us a Savior and over us will shine a star sending its gleam of hope to the world. Presidential message, December 25, 1927",Calvin Coolidge,christmas,58
The knowing is easy. It's the doing that gives us trouble.,Vannetta Chapman,amish christmas,50
I knew that I had been partially right in the storeroom above the bar on Christmas Day. Whoever I had become had to die.,Craig Ferguson,alcoholism change christmas death suicide,40
"They are Man's and they cling to me, appealing from their fathers. This boy is Ignorance and this girl is Want. Beware them both, and all of their degree, but most of all beware this boy for on his brow I see that written which is Doom, unless the writing be erased.",Charles Dickens,christmas,192
"Yet as I read the birth stories about Jesus I cannot help but conclude that though the world may be tilted toward the rich and powerful, God is tilted toward the underdog.",Philip Yancey,christmas jesus-christ underdog,155
"Peace on earth will come to stay, When we live Christmas every day.",Helen Steiner Rice,christmas,125
"Are you willing to stoop down and consider the needs and desires of little children; to remember the weaknesses and lonliness of people who are growing old; to stop asking how much your friends love you, and to ask yourself if you love them enough; to bear in mind the things that other people have to bear on their hearts; to trim your lamp so that it will give more light and less smoke, and to carry it in front so that your shadow will fall behind you; to make a grave for your ugly thougts and a garden for your kindly feelings, with the gate open? Are you willing to do these things for a day? Then you are ready to keep Christmas!",Henry Van Dyke,christmas,124
Money's scarceTimes are hardHere's your fuckingXmas card,Phyllis Diller,christmas humour,118
"Christmas, my child, is love in action.",Dale Evans Rogers,christmas,107
"Christmas is the season for kindling the fire of hospitality in the hall, the genial flame of charity in the heart. ",Washington Irving,christmas,106
